Vote,Yearly_IncomeK,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Avg_Satisfaction_with_previous_vote,Avg_monthly_income_all_years,Most_Important_Issue,Overall_happiness_score,Avg_size_per_room,Weighted_education_rank
10,-0.5582857142857143,0.27272727272727293,0.5745329298974254,0.7643253234750459,-0.8657671565348538,-0.4285714285714286,-0.21410104509809336,-0.998081830949817,-0.9101920174977962
1,-0.6942857142857142,-0.2727272727272726,0.8306567842514126,-0.09218578832800717,-0.8047353366919066,-0.4285714285714286,-0.9180374163125408,-0.842777617509741,-0.9741114065783688
2,0.5142857142857142,-0.09090909090909077,-0.4350263176134093,-0.738139248305607,-0.3455257604119783,0.1428571428571428,0.2705613643484632,0.04382603760608686,-0.424095711045539
11,0.47142857142857153,-0.4545454545454545,-0.3745408327523682,-0.7150338878619841,-0.4006186989823824,1.0,0.004969678460630539,-0.3282402795194689,-0.4177310011008743
1,-0.2968571428571427,0.09090909090909105,0.3912229948453876,0.6233826247689462,-0.7425865757332727,1.0,-0.9191571902436956,-0.07725539790630465,-0.7768405240804408
8,-0.8260000000000001,-0.4545454545454545,-0.5989590951420115,0.2925138632162659,-0.44497884219713446,0.7142857142857142,0.16703372743234046,-0.03348440719738237,0.3235185506707552
9,-0.3425714285714285,0.45454545454545475,-0.6592857011127957,-0.2761860751694395,-0.2002678116696551,-1.0,0.2622777964083756,-0.10527932822987841,-0.07560581606225888
9,-0.24142857142857133,0.09090909090909105,-0.713807946050991,-0.3307147258163896,-0.7914010718088371,0.1428571428571428,-0.029225060712402384,-0.10272684113152222,-0.2136265632809549
9,-0.8462857142857143,0.45454545454545475,-0.8126698063515019,-0.004621072088724726,-0.8741626725973426,-0.7142857142857143,0.09859430179851764,-0.05592627756335794,-0.1058952161872315
7,-0.8154285714285714,0.8181818181818185,0.6486869615753702,0.9029574861367836,-0.2572181294253301,-1.0,-0.9444616432181485,-0.8214493862132032,-0.6800525662774805
3,0.5057142857142858,-1.0,-0.8360918517632894,-0.42544670363524356,0.03131015935267917,0.4285714285714284,-0.08821822633561438,0.07989473729712213,-0.1307121684684942
1,0.8102857142857145,0.27272727272727293,0.7129681618305729,0.026494146642020655,-0.8422818790140931,-1.0,-0.8624885434453158,-0.14033514128491015,-0.9589241779174169
9,-0.37228571428571433,0.09090909090909105,-0.6455926362843468,-0.2601663585951943,-0.3470945661460923,-0.4285714285714286,0.06182897173850341,-0.17180672568115907,-0.23049911732604736
2,0.8682857142857143,0.09090909090909105,-0.4744201720829791,-0.9289895255699323,-0.4667952157503646,-0.4285714285714286,0.2597456254652467,-0.001031192781212359,-0.387024554860123
0,0.8494285714285716,0.6363636363636366,0.25851825648735205,-0.3026802218114604,0.48021696305965056,0.1428571428571428,-0.35431101299690615,0.780926898772113,-0.7828557757786776
9,0.16571428571428592,0.09090909090909105,-0.7688229791336059,-0.5502156500308073,-0.56105407726323,-0.4285714285714286,0.06036472110965169,-0.1553370154022559,-0.06174792845814525
11,-0.742,-0.09090909090909077,-0.3109990715236093,-0.060844115834873855,-0.06807506812671521,-1.0,0.001415029611786689,-0.38883203697334623,-0.4391616550595583
10,-0.276,0.8181818181818185,-0.43075225027927594,0.6121380160197162,-0.48349828293467484,-0.7142857142857143,-0.08451131789293688,-0.1589584104888956,-0.4552158981905811
9,-0.4942857142857142,0.8181818181818185,-0.503598409468879,-0.19439309919901432,-0.6986809781970331,-1.0,-0.04261400712263,-0.16147880482367516,-0.3901313187273917
4,0.5465714285714287,-0.2727272727272726,-0.7948256530831965,-0.7555452865064697,-0.8524750211331227,-1.0,-0.09836179109766499,-0.09588375884940997,-0.08693375075954399
8,0.2942857142857145,0.09090909090909105,-0.7480517547932735,-0.3114602587800372,-0.9258810161884959,0.7142857142857142,0.22636358835086867,-0.019844699996416554,-0.01979821627614836
5,0.6825714285714288,-0.2727272727272726,-0.3881170220396002,-0.5207948243992607,-0.7319525758020304,0.7142857142857142,-0.2958221457068832,-0.40555769047992696,0.14464171228432532
8,0.4668571428571431,-0.09090909090909077,-0.6883149918540017,-0.4044978434996921,0.13648567629796104,-0.1428571428571429,0.050821911364311134,0.08019974050228709,-0.28012354790221994
1,0.8657142857142857,0.8181818181818185,0.4995329805227161,-0.0033887861983983025,-0.6909240937905333,-0.7142857142857143,-0.7721012267116237,-0.6768369727374749,-0.7867956946087814
8,0.1594285714285717,0.09090909090909105,-0.6387761269417045,-0.23875539125077033,-0.5216711093673002,0.7142857142857142,0.28358221818434287,-0.11131316362034979,-0.0617164671223035
8,0.16657142857142881,-0.2727272727272726,-0.8785857930186567,-0.24260628465804088,-0.1597069138100104,0.7142857142857142,0.12497565779074715,0.06300884755836819,0.03550931419524056
8,0.8320000000000003,-0.09090909090909077,-0.7843232609224116,-0.6013555144793594,-0.7975545742360372,-0.1428571428571429,-0.13016552970085102,0.10164858470211158,0.054432930399980484
10,-0.9397142857142857,0.8181818181818185,0.38831762911380363,0.96996303142329,-0.9669473449768244,-0.7142857142857143,-0.13016552970085102,-0.7850261168871461,-0.8740652054263407
6,0.18285714285714283,0.09090909090909105,-0.4138408247000196,-0.5594577942082565,-0.17958746077846305,1.0,0.03500251479149338,0.35205320243286076,0.45376636928052083
